day,period,room_id,course_id
0,0,rB,c0001
0,0,rC,c0015
0,0,rF,c0062
0,0,rG,c0031
0,0,rS,c0065
0,1,rB,c0025
0,1,rC,c0015
0,1,rE,c0065
0,1,rF,c0069
0,1,rG,c0031
0,1,rS,c0066
0,2,rB,c0002
0,2,rC,c0024
0,2,rE,c0069
0,2,rG,c0062
0,3,rB,c0002
0,3,rC,c0025
0,3,rE,c0069
0,3,rF,c0063
0,3,rG,c0031
0,3,rS,c0059
0,4,rB,c0001
0,4,rC,c0017
0,4,rE,c0058
0,4,rF,c0065
0,4,rG,c0033
0,4,rS,c0066
0,5,rB,c0005
0,5,rC,c0068
0,5,rE,c0033
0,5,rF,c0025
0,5,rG,c0066
1,0,rB,c0001
1,0,rC,c0015
1,0,rE,c0067
1,0,rF,c0033
1,0,rG,c0065
1,0,rS,c0064
1,1,rB,c0025
1,1,rC,c0016
1,1,rE,c0069
1,1,rG,c0070
1,1,rS,c0064
1,2,rB,c0004
1,2,rC,c0024
1,2,rE,c0063
1,2,rG,c0057
1,2,rS,c0062
1,3,rB,c0016
1,3,rC,c0025
1,3,rE,c0064
1,3,rF,c0070
1,3,rG,c0068
1,3,rS,c0031
1,4,rB,c0004
1,4,rC,c0016
1,4,rE,c0061
1,4,rF,c0071
1,4,rG,c0068
1,5,rB,c0015
1,5,rC,c0024
1,5,rE,c0057
1,5,rF,c0072
1,5,rG,c0071
2,0,rB,c0001
2,0,rC,c0072
2,0,rE,c0064
2,0,rS,c0062
2,1,rB,c0004
2,1,rC,c0068
2,1,rE,c0059
2,1,rF,c0025
2,1,rG,c0061
2,1,rS,c0066
2,2,rB,c0015
2,2,rC,c0002
2,2,rE,c0070
2,2,rG,c0033
2,2,rS,c0059
2,3,rB,c0078
2,3,rC,c0071
2,3,rE,c0033
2,3,rF,c0059
2,3,rG,c0068
2,4,rB,c0071
2,4,rC,c0017
2,4,rE,c0070
2,4,rF,c0030
2,4,rG,c0058
2,5,rB,c0016
2,5,rC,c0002
2,5,rE,c0063
2,5,rG,c0070
2,5,rS,c0031
3,0,rB,c0014
3,0,rC,c0002
1,4,rS,c0078
3,0,rF,c0059
3,0,rG,c0058
3,0,rS,c0030
3,1,rB,c0001
3,1,rC,c0015
3,1,rE,c0033
3,1,rF,c0067
3,1,rS,c0072
3,2,rB,c0001
3,2,rC,c0016
3,2,rE,c0064
3,2,rF,c0067
3,2,rG,c0072
3,3,rB,c0005
3,3,rC,c0015
3,3,rF,c0071
3,3,rG,c0065
3,3,rS,c0061
3,4,rB,c0032
3,4,rC,c0078
3,4,rE,c0069
3,4,rF,c0072
3,4,rG,c0061
3,4,rS,c0057
3,5,rB,c0078
3,5,rC,c0016
3,5,rE,c0061
3,5,rF,c0068
3,5,rG,c0066
3,5,rS,c0059
4,0,rB,c0004
4,0,rC,c0063
4,0,rF,c0062
4,0,rG,c0057
4,0,rS,c0025
4,1,rB,c0072
4,1,rC,c0002
4,1,rE,c0078
4,1,rG,c0063
4,1,rS,c0030
4,2,rB,c0004
4,2,rC,c0024
4,2,rE,c0063
4,2,rF,c0067
4,2,rS,c0061
4,3,rB,c0005
4,3,rC,c0025
4,3,rE,c0067
4,3,rF,c0057
4,3,rG,c0071
4,3,rS,c0070
4,4,rB,c0004
4,4,rC,c0015
4,4,rE,c0065
4,4,rF,c0064
4,4,rG,c0058
4,4,rS,c0030
4,5,rB,c0004
4,5,rC,c0016
4,5,rE,c0069
4,5,rF,c0030
4,5,rG,c0066
4,5,rS,c0058
