course_id,room_id,day,period
c0001,rG,0,2
c0001,rS,0,3
c0001,rG,0,4
c0001,rF,0,5
c0001,rF,1,0
c0001,rS,1,1
c0002,rG,2,0
c0002,rB,1,2
c0002,rC,1,3
c0002,rE,1,4
c0002,rC,1,5
c0002,rG,2,1
c0004,rG,2,2
c0004,rE,2,3
c0004,rC,2,4
c0004,rS,2,5
c0004,rF,3,0
c0004,rF,3,1
c0004,rC,3,2
c0005,rE,3,3
c0005,rE,3,4
c0005,rF,3,5
c0014,rG,1,2
c0015,rC,0,2
c0015,rF,0,3
c0015,rE,2,2
c0015,rS,0,4
c0015,rC,0,5
c0015,rC,1,0
c0015,rS,2,0
c0015,rC,1,1
c0016,rB,1,3
c0016,rE,1,5
c0016,rC,1,4
c0016,rE,2,1
c0016,rS,2,3
c0016,rC,2,5
c0016,rB,2,4
c0017,rC,3,0
c0017,rC,3,1
c0024,rF,0,2
c0024,rS,0,5
c0024,rF,0,4
c0024,rC,0,3
c0025,rF,1,1
c0025,rF,1,2
c0025,rF,1,3
c0025,rC,2,0
c0025,rG,1,0
c0025,rB,1,4
c0025,rE,4,0
c0025,rC,2,1
c0078,rS,1,5
c0078,rE,2,4
c0078,rB,2,2
c0078,rF,2,3
c0078,rE,2,5
c0030,rB,1,1
c0030,rF,1,4
c0030,rC,0,4
c0030,rE,0,2
c0030,rS,1,0
c0031,rB,0,2
c0031,rF,1,5
c0031,rC,1,2
c0031,rC,2,2
c0031,rE,0,3
c0032,rS,1,2
c0033,rS,1,3
c0033,rC,2,3
c0033,rS,2,1
c0033,rF,2,0
c0033,rE,0,5
c0033,rG,0,3
c0057,rS,0,2
c0057,rE,0,4
c0057,rS,1,4
c0057,rF,2,1
c0057,rG,0,5
c0058,rC,3,3
c0058,rG,1,1
c0058,rC,3,4
c0058,rS,2,2
c0058,rG,1,3
c0059,rG,1,5
c0059,rB,0,3
c0059,rS,2,4
c0059,rE,1,0
c0059,rB,2,0
c0059,rC,3,5
c0061,rB,0,4
c0061,rF,2,2
c0061,rS,3,0
c0061,rS,3,1
c0061,rB,0,5
c0061,rB,1,0
c0062,rE,1,1
c0062,rG,1,4
c0062,rE,1,2
c0062,rB,1,5
c0062,rF,2,4
c0063,rF,2,5
c0063,rS,3,2
c0063,rB,2,1
c0063,rG,2,3
c0063,rF,3,3
c0063,rE,1,3
c0064,rG,2,4
c0064,rE,2,0
c0064,rF,3,4
c0064,rB,3,0
c0064,rC,4,0
c0064,rS,3,5
c0065,rS,3,3
c0065,rE,3,0
c0065,rG,2,5
c0065,rG,3,1
c0065,rE,3,2
c0065,rS,3,4
c0066,rG,3,0
c0066,rB,2,3
c0066,rG,3,2
c0066,rB,2,5
c0066,rB,3,1
c0066,rG,3,3
c0067,rB,3,2
c0067,rF,4,0
c0067,rG,3,4
c0067,rE,3,1
c0067,rG,3,5
c0068,rS,4,0
c0068,rC,4,1
c0068,rB,3,5
c0068,rE,4,2
c0068,rE,4,3
c0068,rF,3,2
c0069,rC,4,2
c0069,rE,4,1
c0069,rS,4,3
c0069,rE,4,4
c0069,rE,4,5
c0069,rG,0,1
c0070,rC,4,3
c0070,rS,4,1
c0070,rB,3,4
c0070,rG,4,0
c0070,rB,4,2
c0070,rE,3,5
c0071,rF,4,3
c0071,rB,4,4
c0071,rF,4,5
c0071,rB,0,0
c0071,rS,0,1
c0071,rS,0,1
c0072,rB,4,5
c0072,rE,0,0
c0072,rF,4,4
c0072,rF,0,0
c0072,rB,0,1
c0072,rC,0,1
